horizon,group,color,impact_mj,impact_mwon,fg_bbl,stm_esston,elec_kwh,cqi_avg,cqi_level
D-1,2차공정 처리비율,#FF9800,2.4793823,44.63279,381.40472412109375,-9.853412,9995.46484375,0.40486374142432036,High
D-1,강우,#0288D1,-0.064397804,-0.62946755,0.0,-20.781393,0.0,0.40486374142432036,High
D-1,원유조성,#8E24AA,-6.748841,-125.5083,-1167.8323974609375,194.75165,4246.3671875,0.40486374142432036,High
D-1,원유처리량,#1976D2,-1.6068554,-28.840187,-255.6668243408203,4.5280914,-251.69029235839844,0.40486374142432036,High
D-1,환경/계절,#43A047,-0.1912978,-5.961918,-76.03034973144531,100.68209,-2302.39697265625,0.40486374142432036,High
W-1,2차공정 처리비율,#FF9800,26.276953,476.82574,4187.57763671875,-266.69055,62216.9453125,0.6580074317038936,Medium
W-1,강우,#0288D1,-1.2244444,-11.968548,0.0,-395.13245,0.0,0.6580074317038936,Medium
W-1,원유조성,#8E24AA,-20.314426,-369.30524,-3275.40869140625,236.92894,-32863.8515625,0.6580074317038936,Medium
W-1,원유처리량,#1976D2,-6.4371595,-112.702065,-954.54150390625,-96.932816,-9854.9443359375,0.6580074317038936,Medium
W-1,환경/계절,#43A047,-1.2428979,-27.067688,-225.50074768066406,183.11606,-40086.13671875,0.6580074317038936,Medium
M-1,2차공정 처리비율,#FF9800,76.737206,1380.9,12024.384765625,-320.6133,168699.84375,0.9746956602896856,Medium
M-1,강우,#0288D1,-4.728945,-46.223904,0.0,-1526.0469,0.0,0.9746956602896856,Medium
M-1,원유조성,#8E24AA,-116.60359,-2126.4019,-18619.88671875,1575.8417,-378508.375,0.9746956602896856,Medium
M-1,원유처리량,#1976D2,-32.21065,-573.4074,-4597.681640625,-163.85657,-271993.9375,0.9746956602896856,Medium
M-1,환경/계절,#43A047,-10.093569,-158.45238,-1049.5673828125,-893.51276,-71257.421875,0.9746956602896856,Medium
